Title,Country,Period,Classification,_ - description
Manchu Woman's Semiformal Court Robe (jifu),China,18th Century,Clothing,"Imperial k'ossu robe of K'ang Hsi (?) blue with all-over tendril pattern of gold in ground, nine five-clawed dragons. Loosely drawn clouds in shades of green, yellow, rose, and aubergine, and spaced motifs of red bats enfolding a gold character with their wings. These are supplemented by bats in yellow, white and rose. Fine border design of rolling waves sprinkled with sprays of flowers, Buddhist and Taoist symbols. From the waves emerge sprags of marcissus, pagodas, etc. Note areas where waves have been painted. Sleeves finished with a band of dark blue k'ossu decorated with universe and dragon motif, above a widely flaring cuff of the same K'ossu. Collar and front band of same k'ossu. Coat slit at sides and lined with yellow raw silk. Inscription inside front."
Panel,China,19th Century,Textiles,"Panel of gold k'ossu with spreading branches of lotus and peonies in the rain field. Above, in a wide band set off from the field by a border of blue k'ossu with Greek Key meander in gold, is a row of flower and fruit sprays. The design is done in shades of red, pink, green and white. Around the edge a the border of the Greek key meander in gold on blue. The panel is in two sections seamed up the middle. Lining of bright pink figured silk. Coarse quality. Note A.P. says this may be late XVIII century."
Manchu Prince's Semiformal Court Robe,China,18th Century,Clothing,"Imperial robe of puce satin embroidered with nine five-clawed dragons, those in profile grasping Heavenly Jewel, Taoist emblems, cranes, bats, and blossoms against an all-over embroidered background of small octagons filled with a small blue flower alternatin with squares filled with a swastike in dark brick color, the whole forming a sort of lattice-work ground done in outline and satin stitch. Remaining designs chiefly in satin stitch. Border of deep slanting stripes almost straight on edges, topped with rolling waves scattered with swastika and other symbols. Some knot stitch in border and in single flowers of body. To right and left of sacred mountain, front and back, a pagoda under a spreading tree. Border design repeated at elbow, where sleeve continues with a strip of modern black sateen. Cuffs, collar, and band embroidered with same designs and technique of body on blue satin. Color scheme soft in tone, with shades of ivory, yellow, soft blue, green and brown predominating. Robe slit front and back and lined with thin blue silk."
Chair Cover,China,18th Century,Textiles,"Throne seat brocaded with five five-clawed dragons in gold against a solid abckground of tight clouds in shades of blue, green, yellow, brown, peach, pink and rust color. Border of blue satin brocaded with flowers in gold and shades of blue, green and yellow. Border bound on both sides with black satin. Brocade badly worn, and mended in spots. lininf of gold colored satin. Damask of cloud design."
Woman's Dragon Robe,China,19th Century,Clothing,"Imperial robe, probably woman's, of sand colored satin embroidered with weight 5-clawed dragons, tight cloud forms, bats, Buddhist emblems and flowers in shades of pale blue, ivory, tan and soft brown. Border with shallow area of straight-edged slanting stripes topped with rolling waves dotted with large peony blossoms and swastika. Narrow cuffs, collar and band of brown satin embroidered with floral pattern in shades of blue and white in satin stitch. Embroidery on body chiefly of satin stitch, but dragons in couched gold, emblems, red flowers in border of knot stitch. Slit at sides and lined with sand-colored satin. Robe has a look of great age and is stained noticeably along back border."
Picture Hanging,China,18th Century,Textiles,"Picture hanging of embroidered rust-rose satin. The scene represents an empress attended by a woman, a man, and a boy. Buddhist monk? carrying the Buddhist umbrella. In the background are large sprays of flowers, and clouds of couched gold thread. All the work is in applique couched down around outlines with gold threads. The colors, with exception of the empress robe and shoes of floral red, are in pastel shades. The embroidery is chiefly in satin stitch. Inner border of brocaded gold braid; outer border of black satin embroidered with floral design in shades of blue silk and gold thread. Lining of apricot cotton. Note phoenix design of empress' robe. Former Classification: Textiles - Tapestry"
Valance,China,19th Century,Textiles,"Picture valance of embroidered crimson satin representing dignitarys paying hommage to Su Chin, Prime Minister of the Six States of Warring States period, circa 270BC. Chiefly satin and couched stitch. In the background pine and bamboo trees, flowers, etc. At bottom and ends a border of pale blue silk braid; along the bottom tasselled fringe. Lining of coarse pink cotton."
Throne Seat Cover,China,18th Century,Textiles,"Throne seat cover of embroidered imperial yellow silk. Oblong central panel set off from outer area by a running meander in bright dark blue. Central portion of panel has design of large flowers and trailing leaves, bats, double peach, swastika and other good luck emblems on plain ground. Bordering it the ground has an all-over pattern of medallions, lozenges and flowers producing a diaper. The outer border is embroidered with the same large floral and symbol pattern used in innermost panel. Chiefly satin stitch. Colors include shades of blue, pink, green, gray, violet, red, yellow and apricot. Boxed border of medium blue satin; lining of yellow satin. Badly stained by mildew. Cf. 42.8.155. Undoubtedly part of a set."
Manchu Man's Semiformal Court Robe (chi-fu),China,18th Century,Clothing,"Imperial robe of gold k'ossu with nine five-clawed dragons in blue. In the ground, loosely drawn clouds, the eight Taoist emblems, the bat, flowering branches with peach and couble peach, peonies and narcissus in shades of blue, red, rose, green, peach, yellow, mauve, and brown. Border with narrow band of slanting wavy stripes below tossing wave. Note that the sacred mountain, as well as certain other parts of border, has been painted. Same border treatment at elbows, where sleeves continue with a section of black satin and are finished with an inferior quality of dark blue k'ossu with dragons, clouds, bats, etc. Edging of black and gold brocade; same k'ossu collar and band. Coat slit back and front; lined with thin, gold colored damask. K'ossu broken at shoulders and on collar."
Throne Seat Cover,China,17th - 18th Century,Textiles,"Throne seat cover of imperial yellow k'ossu. In a round, central medallion, a five-clawed dragon in gold is seated above the Eternal Sea. Surrounding him are loose clouds, some of which form the border of upper section of medallion. In the field outside the medallion are large sprays of peonies with twining leaves. In the border, set off fron the main field by a nerrow gold band, are slender, cursive dragons in profile spearated by large floral sprays, The boxed border of the cover has a design of flowers and a wide meander. Colors include blue, green, pink, red, rust, and tan. Some painted detail. Lining of thin yellow silk. Soiled and torn."
